Data Table for Cumulative Deaths - The United States
Date generated: Thu Sep 07 2023 17:02:51 GMT-0400 (Eastern Daylight Time)
Geography,Date,Cumulative Deaths,Death Data As Of
United States,Mar 27 2021,559553,Sep  6 2023
United States,Mar 20 2021,555092,Sep  6 2023
United States,Mar 13 2021,550199,Sep  6 2023
United States,Mar  6 2021,544474,Sep  6 2023
United States,Feb 27 2021,537743,Sep  6 2023
United States,Feb 20 2021,529089,Sep  6 2023
United States,Feb 13 2021,518282,Sep  6 2023
United States,Feb  6 2021,504763,Sep  6 2023
United States,Jan 30 2021,487729,Sep  6 2023
United States,Jan 23 2021,467407,Sep  6 2023
United States,Jan 16 2021,443720,Sep  6 2023
United States,Jan  9 2021,418028,Sep  6 2023
United States,Jan  2 2021,392054,Sep  6 2023
United States,Dec 26 2020,367209,Sep  6 2023
United States,Dec 19 2020,343845,Sep  6 2023
United States,Dec 12 2020,321531,Sep  6 2023
United States,Dec  5 2020,300618,Sep  6 2023
United States,Nov 28 2020,282073,Sep  6 2023
United States,Nov 21 2020,266458,Sep  6 2023
United States,Nov 14 2020,253115,Sep  6 2023
United States,Nov  7 2020,242471,Sep  6 2023
United States,Oct 31 2020,233717,Sep  6 2023
United States,Oct 24 2020,226698,Sep  6 2023
United States,Oct 17 2020,220708,Sep  6 2023
United States,Oct 10 2020,215513,Sep  6 2023
United States,Oct  3 2020,210700,Sep  6 2023
United States,Sep 26 2020,206460,Sep  6 2023
United States,Sep 19 2020,202164,Sep  6 2023
United States,Sep 12 2020,197891,Sep  6 2023
United States,Sep  5 2020,193273,Sep  6 2023
United States,Aug 29 2020,188263,Sep  6 2023
United States,Aug 22 2020,182524,Sep  6 2023
United States,Aug 15 2020,176150,Sep  6 2023
United States,Aug  8 2020,168902,Sep  6 2023
United States,Aug  1 2020,161054,Sep  6 2023
United States,Jul 25 2020,152769,Sep  6 2023
United States,Jul 18 2020,144540,Sep  6 2023
United States,Jul 11 2020,137374,Sep  6 2023
United States,Jul  4 2020,131604,Sep  6 2023
United States,Jun 27 2020,127064,Sep  6 2023
United States,Jun 20 2020,123229,Sep  6 2023
